region,date,mean,median,lower_90,upper_90,lower_50,upper_50
France,2020-06-17,1.0488523401528926,1.0440933959521501,0.9521515543692866,1.1592845111780439,0.9969292361264962,1.0768195697356682
France,2020-06-18,1.061411695109461,1.0535806047777676,0.9578391067434702,1.161176002427305,0.9871472857172865,1.0663972356611293
France,2020-06-19,1.0768210832295337,1.068832118632401,0.9772814561236516,1.1824783782164834,1.0263146378991628,1.1020791567502504
France,2020-06-20,1.082716133014604,1.069396200502842,0.9709428751673832,1.194665946342244,1.0301646216252196,1.1102198757544433
France,2020-06-21,1.0888194007500605,1.0739735399571804,0.9748706090387059,1.2145217016961947,1.027538480319104,1.1086642991715685
France,2020-06-22,1.1006685707579558,1.0877943835699022,0.9823714254279853,1.236320061088724,1.0453087096253788,1.1278323819323695
France,2020-06-23,1.1085540972764563,1.0924326392498633,0.9901285024967443,1.2303275479539348,1.0384056441888811,1.1221632842354408
France,2020-06-24,1.1144879801355208,1.0953630248047153,0.9848092294955746,1.22790030264288,1.0349445838042317,1.1205061998222972
France,2020-06-25,1.1031760978352512,1.0932672734265831,0.9842108451817505,1.2230660860225804,1.0421845862534473,1.1253273045842422
France,2020-06-26,1.0829009851281166,1.0667710358500733,0.9730965136735884,1.1963236551298768,1.017080372464108,1.093218704087569
France,2020-06-27,1.052345260524899,1.046616567011179,0.9482435519295118,1.1593913625740209,0.9884166865186672,1.0633381908249544
France,2020-06-28,1.0234548115789097,1.0212499611044397,0.9295371766309753,1.148644613221211,0.9742964429576577,1.047336052352313
France,2020-06-29,0.9888287754395806,0.9954536968021283,0.8849376372723922,1.1031567926263435,0.9587468381501413,1.0324503600594133
France,2020-06-30,0.9692679002681046,0.9780399893817855,0.8354063218963765,1.0685312780634735,0.951857264614302,1.0279946149364554
France,2020-07-01,0.9616376737473864,0.9678629374196558,0.8406475148184496,1.0645189693437214,0.9352112942168413,1.0053207024014459
France,2020-07-02,0.9554465636166297,0.9641623751283284,0.8425067018372506,1.0631639352041389,0.9265244485060578,1.006590739756765
France,2020-07-03,0.9690544922554066,0.9728189825862368,0.8509939068743262,1.073918499948996,0.919625598801382,0.9967260553911212
France,2020-07-04,0.9734159317095348,0.9813681779308013,0.8493251229416939,1.072887292864797,0.9518372151442455,1.0214921720610923
France,2020-07-05,1.0010631956847431,1.0005716141151955,0.8878025508347701,1.115542364988534,0.972987648315153,1.0499079177485313
France,2020-07-06,1.0289579490581762,1.025410664313785,0.9099519878483593,1.1471060768324917,0.9839761937198256,1.0628489077708454
France,2020-07-07,1.0374605662941476,1.03470777884574,0.9342752524945519,1.156097633501664,0.9914820965387457,1.0681827547374345
France,2020-07-08,1.0569436650031563,1.0550087053544654,0.9367128651218031,1.1591407938023663,1.0120943235226552,1.0886316166498078
France,2020-07-09,1.078048335866431,1.074271016900918,0.9833069044618984,1.1906353594714785,1.0115125877143787,1.0901029850692243
France,2020-07-10,1.118529017809026,1.1075635189419937,1.0014522076211458,1.2276255215201382,1.06684352354661,1.149996670834838
France,2020-07-11,1.133120494884031,1.1208678443114306,1.003118210473456,1.2468194968555764,1.0502241391111542,1.1440359005448204
France,2020-07-12,1.1404125063327688,1.1287128618571236,1.015666268742959,1.2517647080879144,1.057774461136259,1.1567023473661646
France,2020-07-13,1.129984273392146,1.1152259682486516,1.013049271171436,1.2387042275565059,1.0551617728279759,1.146169031363256
France,2020-07-14,1.1299378249337908,1.1135482390036224,1.0227168450183766,1.2589330216808214,1.0420155006478569,1.1340949225124402
France,2020-07-15,1.1197002157928013,1.1072397119735347,1.0115612852932039,1.241905874810296,1.0390392684667469,1.1297615138003199
France,2020-07-16,1.115050909329292,1.1074682441435135,1.0114118676737829,1.2314796849130474,1.0410237381830816,1.1247051934726342
France,2020-07-17,1.118401666257613,1.1098889192710417,1.0106719366019639,1.2424651000009916,1.056176073396673,1.1407674865289477
France,2020-07-18,1.121231691484459,1.105993706823745,1.002379311353159,1.2384580479912635,1.0535995989500893,1.138650400460827
France,2020-07-19,1.111878199258584,1.0979512121351784,0.9859119115394608,1.2243659159531672,1.0398330127014501,1.124597197476427
France,2020-07-20,1.0943209422888167,1.085451106890404,0.980166817676377,1.2150664609402513,1.0367111972758472,1.1176978042482584
France,2020-07-21,1.0829409999874278,1.0742661971206844,0.9489049756050532,1.2090354018849165,1.0179610586049486,1.1041879004452764
France,2020-07-22,1.0702758894089404,1.0655905403170136,0.9407147314156139,1.2093617431824628,1.0053230226856644,1.090745092940301
France,2020-07-23,1.0692724532195725,1.0600320072639673,0.9416155830187369,1.2182346707922458,1.004020105922096,1.0948031829072287
France,2020-07-24,1.0610509943171655,1.0522808570332869,0.8994391199229722,1.223158777572991,0.9852615511320716,1.0944337589544906
France,2020-07-25,1.0636991330186278,1.0619278652084179,0.909871297237442,1.2492267255693843,1.0083975074059468,1.1166692510445477
France,2020-07-26,1.0545388250581424,1.0486291727416126,0.9009687289543516,1.238469218064935,0.973439734386247,1.0886692957855835
France,2020-07-27,1.0582894502637825,1.0539810445844127,0.9052201472085466,1.2757978305168054,0.9809247181740345,1.107962467483859
France,2020-07-28,1.0561893443089594,1.05107087779027,0.8647909208567358,1.2482714331071703,0.9715333589234627,1.1045553149149925
France,2020-07-29,1.0591606315576136,1.0539373052027048,0.8711415588592043,1.2791778289071263,0.954642802649341,1.098073525877896
Italy,2020-01-12,1.6073611963108874,1.522345514889191,1.1054828352307284,2.13453058696577,1.2279762836905652,1.594999257872728
Italy,2020-01-13,1.5861406521968744,1.5141708806010372,1.1031365674447149,2.100516559191534,1.2431217598982929,1.6004958725020964
Italy,2020-01-14,1.5922704600677635,1.5240144794960335,1.1201207714381034,2.1095861156063522,1.2517330434562113,1.6038187662612848
Italy,2020-01-15,1.5909881823849357,1.5268442129703597,1.1160550888249174,2.089239736479498,1.259275342002563,1.6085899128537582
Italy,2020-01-16,1.588190337091777,1.525901557366267,1.1270648305278206,2.0817775252105055,1.252486765927792,1.5956173600762982
Italy,2020-01-17,1.589930709423476,1.5276202259757534,1.1325873852933819,2.10363357145977,1.2595584761040888,1.6026046442825779
Italy,2020-01-18,1.6008792951810535,1.5345301110389582,1.1250852771369346,2.1022217129939214,1.251351969239595,1.5959610048705735
Italy,2020-01-19,1.5903113768795387,1.516226418651656,1.1224577665754676,2.0798271731808207,1.2585923138499608,1.6105107490166832
Italy,2020-01-20,1.6016562504755365,1.526723875315994,1.1389712529969482,2.103269086935389,1.265366384922986,1.6194713987087574
Italy,2020-01-21,1.607083179682068,1.534047132706298,1.1377676503765124,2.0915540541837485,1.275256066696609,1.636511541165044
Italy,2020-01-22,1.6180734070289438,1.548480031337668,1.1734441923826233,2.1379733973200357,1.2739597745766227,1.6328487630951964
Italy,2020-01-23,1.621282679891236,1.5460129156475881,1.1417985684638026,2.1028550160476103,1.2999796060049624,1.6612746768185083
Italy,2020-01-24,1.6268456689705082,1.560129835083183,1.1464429733050352,2.1029240288641784,1.296486054753418,1.6609691447696588
Italy,2020-01-25,1.6223563203680964,1.557475134618826,1.153944849858958,2.092689206451926,1.3039144583929552,1.6593376939752755
Italy,2020-01-26,1.6203988670963159,1.5611888644206178,1.1652287309793143,2.1184752253537904,1.2658685121239444,1.6190381895028712
Italy,2020-01-27,1.6275959972923226,1.5663273708883927,1.2017227062826568,2.145384503842087,1.3051486914037242,1.662171636193131
Italy,2020-01-28,1.627969306225822,1.5660121038348391,1.138213625037749,2.089035796025376,1.2624571084631737,1.6192676010309492
Italy,2020-01-29,1.6320552159847574,1.5730822890459466,1.1308964526172816,2.089949451395942,1.2777838865118702,1.6321998459318436
Italy,2020-01-30,1.6362222490157472,1.5811276096469329,1.1677118120565166,2.0843240493657573,1.2826124594343238,1.6384333707683396
Italy,2020-01-31,1.641991081427755,1.5948151401545756,1.217991565937831,2.121278190900209,1.278641229751444,1.6366676002744678
Italy,2020-02-01,1.6419282491646634,1.592996996596857,1.224445708402665,2.1303284007679495,1.2761740859936452,1.632729273727255
Italy,2020-02-02,1.6523234239666482,1.596984525061852,1.1939913185576887,2.102178604202363,1.3146542088613606,1.6772532202283346
Italy,2020-02-03,1.64714554203103,1.6019283247806275,1.2223382813650547,2.1308028875922336,1.3186849523812443,1.6804095789143676
Italy,2020-02-04,1.6567347758202873,1.6122753704555377,1.215534514650027,2.1200885430277543,1.3216993199280704,1.6866504193912766
Italy,2020-02-05,1.6601743005174137,1.6154686362963457,1.2071140224814987,2.1279404088291898,1.3177923602276207,1.6815633039323403
Italy,2020-02-06,1.6668665079785823,1.6223408123572625,1.234316212140908,2.1567392030792183,1.3198534809587499,1.684976284479808
Italy,2020-02-07,1.6647943265156366,1.6206824038986252,1.2375151436260061,2.1653209753728015,1.314382086301841,1.6836080205498274
Italy,2020-02-08,1.6681377434166207,1.6256872344820334,1.2287438862970808,2.1396390776785976,1.3192440646355974,1.6918468631331538
Italy,2020-02-09,1.6649881684532446,1.614792454471636,1.2213778245386981,2.1454160135311104,1.3055195558034276,1.6719909682867655
Italy,2020-02-10,1.6735468512068186,1.6231534439491817,1.217599831310011,2.1533213171822143,1.3387458793043838,1.7036175076909634
Italy,2020-02-11,1.6665838603392094,1.618411262355541,1.2194405479755903,2.135026842189337,1.313238644665578,1.6780809736199422
Italy,2020-02-12,1.6726986374222697,1.6251494009834746,1.2143035443526913,2.152427079777459,1.3172109800606786,1.68605569196931
Italy,2020-02-13,1.6703632864234108,1.6211633359361826,1.2149743875375498,2.1308843402885174,1.3097467114256864,1.6728340943829076
