region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Croatia,2020-05-12,0.8459032804686941,0.9146394433861094,0.29680982449533966,1.2677005466886748,0.8298506933221149,1.1147417537218731
Croatia,2020-05-13,0.8457423868560792,0.9182370885475863,0.3334472068676534,1.3242656184431907,0.8307976841077553,1.123594142219255
Croatia,2020-05-14,0.8458790772723019,0.920165052574081,0.30650852097636827,1.320468435803003,0.8252283915195651,1.118963009566821
Croatia,2020-05-15,0.844891478372611,0.9218475368291896,0.29991241547527636,1.337279235352952,0.831950540874573,1.1237940423676016
Croatia,2020-05-16,0.8466358327505672,0.9238141528169368,0.29002108923711223,1.3403327110864862,0.8316216931722753,1.1265804702611357
Croatia,2020-05-17,0.8453316311184839,0.9266147155225787,0.29410018713984976,1.369803863496549,0.8298973356267911,1.128708212662041
Croatia,2020-05-18,0.8435532703416415,0.9285859786541848,0.27406157840158885,1.3793722985864394,0.8258515934433428,1.1273589882006978
Croatia,2020-05-19,0.8445938223433639,0.9292568648465123,0.24392844979097217,1.3827130903510583,0.8366231638384006,1.1330884304449222
Croatia,2020-05-20,0.8441867019674825,0.9311131455653487,0.23624656954937584,1.387175695801911,0.824252572729829,1.1306696566703707
Croatia,2020-05-21,0.8459712589608306,0.9318439504898648,0.20352826243005417,1.3929213573555828,0.8221776574009987,1.1313793598345037
Croatia,2020-05-22,0.8453393115729472,0.935072872652557,0.21003684889603735,1.3966006703855398,0.8213243457269425,1.1274139389024727
Croatia,2020-05-23,0.8463359427857373,0.932352617266681,0.13943684608626428,1.3510767855589685,0.8218591736641567,1.131023174574356
Cyprus,2020-02-16,1.2427884555078903,1.186603903240774,0.7772408523092276,1.7434536536245084,0.9889822787508971,1.3139017840248677
Cyprus,2020-02-17,1.242383890364868,1.183772848600424,0.7641071573047065,1.7349689090594576,0.9824709076045774,1.3070235117141689
Cyprus,2020-02-18,1.2410856922145506,1.183284809797337,0.7714278417355117,1.7387652712506076,0.9638584015605391,1.2836107874009048
Cyprus,2020-02-19,1.2392080547154387,1.181852016801082,0.760883908796742,1.7253454820575316,0.9951726953432436,1.3146165361402435
Cyprus,2020-02-20,1.2394820377906135,1.1811233075280052,0.7609401226933308,1.7246232886318946,0.9631894611584242,1.2783497338717433
Cyprus,2020-02-21,1.237751651772029,1.1815595650932618,0.7776082288322607,1.7335383245182117,0.9712708039776746,1.2819239341860023
Cyprus,2020-02-22,1.237539503672373,1.1801583743176103,0.7886475872966742,1.7476537085767192,0.9533213987073842,1.2692218039867342
Cyprus,2020-02-23,1.2376337262354118,1.1804338074174172,0.7547688752990366,1.7223887871132237,0.9569714401866991,1.2736156964897662
Cyprus,2020-02-24,1.236623195451165,1.1778352769602898,0.7433192894477023,1.7076026302320626,0.9826833200600301,1.2956326227156731
Cyprus,2020-02-25,1.236536501546361,1.179101206590881,0.8091767052940088,1.7611475993511343,0.996075185346162,1.3032978136370565
Cyprus,2020-02-26,1.2346025021438525,1.1767674006015563,0.7960999003868572,1.7516197529327826,0.9848932334054475,1.2919790037897292
Cyprus,2020-02-27,1.233885437369919,1.1770153261017566,0.79902458060807,1.7378365891162326,0.9756772412478151,1.2864985734114152
Cyprus,2020-02-28,1.2318192864037032,1.1740778174574156,0.8124366698633325,1.743480526701423,0.9747369547052626,1.2847705341675935
Cyprus,2020-02-29,1.2313084082175765,1.1735639653524168,0.7874870015617585,1.717173852497846,0.9638084839348675,1.271754437086389
Cyprus,2020-03-01,1.2275774693535109,1.1704351451490667,0.795175183392036,1.7238074656399984,0.9632003402134428,1.2634257253007886
Cyprus,2020-03-02,1.2245952260040458,1.1708512195633993,0.7930685555060645,1.7070109052415754,0.9627034444765401,1.2614861350391986
Cyprus,2020-03-03,1.2240284753138333,1.169835008133652,0.7825270424971041,1.6821765366667865,0.9664125471476901,1.2682422603618364
Cyprus,2020-03-04,1.221170315018713,1.1654650197037144,0.8159241414451869,1.7093653764756218,0.9884951262646121,1.2847889011672946
Cyprus,2020-03-05,1.216117180912209,1.1633011611945814,0.7733199123079972,1.642017660923946,0.9875754204936092,1.2748912376689716
Cyprus,2020-03-06,1.2112203483491755,1.1624522774145518,0.7669129583863104,1.633210634314728,0.9809135754116245,1.263338074494829
